1214,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1263,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1306,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1349,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1392,0,0,499,510,0.00,499,509,95,450,4335,12,0,0.00
1435,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1478,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1521,0,0,499,510,0.00,499,509,95,450,4335,12,0,0.00
1564,0,0,499,510,0.00,499,509,95,450,4335,12,0,0.00
1607,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1654,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1698,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1742,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1786,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1830,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1874,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
1918,0,0,499,509,1.00,499,509,95,450,4335,12,0,0.00
1963,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2007,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2050,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2096,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2139,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2182,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2225,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2268,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2311,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2354,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2397,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2440,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2486,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2529,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2572,0,0,499,510,0.00,499,509,95,450,4335,12,0,0.00
2615,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2658,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2701,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2744,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2787,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2830,0,0,499,509,0.00,499,509,95,450,4335,12,0,0.00
2873,0,0,500,509,0.00,499,509,95,450,4335,12,0,0.00
2919,0,0,499,510,1.00,499,509,95,450,4335,12,0,0.00
